images,globules,milia_like_cyst,negative_network,pigment_network,streaks
pix2pix_result/label2skin/test_latest/images/ISIC_0015062_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015062_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015062_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015062_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015062_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015062_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0014537_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014537_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014537_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014537_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014537_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014537_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0002879_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0002879_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0002879_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0002879_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0002879_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0002879_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0014013_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014013_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014013_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014013_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014013_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014013_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0014328_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014328_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014328_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014328_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014328_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014328_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0014386_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014386_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014386_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014386_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014386_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014386_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0014195_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014195_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014195_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014195_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014195_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0014195_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0000243_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0000243_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0000243_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0000243_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0000243_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0000243_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0010239_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0010239_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0010239_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0010239_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0010239_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0010239_attribute_streaks.png
pix2pix_result/label2skin/test_latest/images/ISIC_0015481_semantic_synthesized_image.jpg,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015481_attribute_globules.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015481_attribute_milia_like_cyst.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015481_attribute_negative_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015481_attribute_pigment_network.png,images/ISIC2018_Task2_Training_GroundTruth_v3/ISIC_0015481_attribute_streaks.png
