images,globules,milia_like_cyst,negative_network,pigment_network,streaks
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9991605_semantic_synthesized_image.jpg,1,0,0,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999959_semantic_synthesized_image.jpg,0,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9993440_semantic_synthesized_image.jpg,1,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9992661_semantic_synthesized_image.jpg,0,1,0,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999912_semantic_synthesized_image.jpg,0,1,1,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9993361_semantic_synthesized_image.jpg,1,1,1,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999512_semantic_synthesized_image.jpg,1,0,0,1,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999289_semantic_synthesized_image.jpg,1,0,0,0,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999409_semantic_synthesized_image.jpg,0,0,0,1,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9992905_semantic_synthesized_image.jpg,1,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999546_semantic_synthesized_image.jpg,1,0,0,1,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9991598_semantic_synthesized_image.jpg,1,0,0,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9991255_semantic_synthesized_image.jpg,0,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9993268_semantic_synthesized_image.jpg,1,1,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999892_semantic_synthesized_image.jpg,0,0,1,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999735_semantic_synthesized_image.jpg,0,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9991171_semantic_synthesized_image.jpg,0,1,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999572_semantic_synthesized_image.jpg,1,0,0,1,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999956_semantic_synthesized_image.jpg,0,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999738_semantic_synthesized_image.jpg,0,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9991301_semantic_synthesized_image.jpg,1,0,1,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999770_semantic_synthesized_image.jpg,0,0,1,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9991099_semantic_synthesized_image.jpg,0,1,1,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999142_semantic_synthesized_image.jpg,1,0,0,0,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9993117_semantic_synthesized_image.jpg,0,1,1,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9999307_semantic_synthesized_image.jpg,1,0,0,0,1
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9992114_semantic_synthesized_image.jpg,0,1,0,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9992080_semantic_synthesized_image.jpg,1,0,0,0,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9992004_semantic_synthesized_image.jpg,1,0,0,1,0
images/pix2pix_datasets/p2p_normalized_no_inst/l2s_bb_no_inst/test_latest/images/ISIC_9992584_semantic_synthesized_image.jpg,0,1,0,1,0
